Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,3996.86,безналичный,Гомель,Белинвестбанк-GBKN-107,03-12-2008,19:04:08,успешно,нет,0.0
физ. лицо,списание средств,3835.95,безналичный,Минск,Приорбанк-QOMA-683,02-10-2000,09:03:23,недостаточно средств,да,237.03
юр. лицо,получение средств,459.54,безналичный,Гомель,Белинвестбанк-URNP-929,29-04-2005,06:45:37,успешно,нет,0.0
физ. лицо,списание средств,1396.3,безналичный,Брест,Беларусбанк-JKYH-396,20-11-2003,23:22:34,успешно,да,47.96
физ. лицо,списание средств,441.81,безналичный,Брест,Белинвестбанк-VBLE-516,10-02-2001,00:00:30,успешно,да,42.22
физ. лицо,получение средств,1511.34,наличный,Гродно,Беларусбанк-JOBI-437,27-01-2004,16:22:02,успешно,нет,0.0
юр. лицо,получение средств,3511.89,наличный,Витебск,МаксБанк-EHSH-772,16-01-2003,15:14:48,успешно,нет,0.0
юр. лицо,получение средств,3474.61,безналичный,Витебск,Беларусбанк-YKWV-466,07-06-2012,23:04:16,успешно,нет,0.0
юр. лицо,списание средств,2944.8,наличный,Минск,БелАгропромбанк-BEFG-551,03-01-2017,14:45:23,недостаточно средств,нет,0.0
юр. лицо,списание средств,3390.6,наличный,Гомель,Белинвестбанк-HAXY-328,17-07-2014,18:59:05,недостаточно средств,да,317.02
физ. лицо,получение средств,3484.63,безналичный,Брест,МаксБанк-XWXQ-633,04-06-2019,16:53:13,успешно,нет,0.0
юр. лицо,списание средств,2548.74,наличный,Гродно,Белинвестбанк-KZWE-399,02-12-2015,16:50:36,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,62.84,безналичный,Витебск,Приорбанк-ANRC-477,21-12-2007,00:53:43,успешно,нет,0.0
юр. лицо,списание средств,3729.92,безналичный,Минск,Приорбанк-LAAH-508,15-01-2024,17:55:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,150.75,наличный,Гомель,Белинвестбанк-NOCS-273,20-01-2009,12:17:23,недостаточно средств,да,9.32
физ. лицо,получение средств,1348.18,безналичный,Минск,Белинвестбанк-IKSJ-083,19-12-2016,08:26:45,успешно,нет,0.0
физ. лицо,списание средств,372.62,наличный,Минск,Беларусбанк-NLYZ-328,25-11-2003,01:04:38,недостаточно средств,нет,0.0
юр. лицо,списание средств,1926.12,наличный,Брест,Беларусбанк-DNFU-676,11-01-2001,04:36:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3779.95,безналичный,Брест,Приорбанк-LJEV-960,17-03-2019,21:13:24,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3041.43,наличный,Гродно,МаксБанк-LAMO-917,27-05-2015,17:31:38,успешно,нет,0.0
физ. лицо,получение средств,3309.4,безналичный,Витебск,Беларусбанк-TFNW-016,11-08-2017,21:23:32,успешно,нет,0.0
юр. лицо,списание средств,2467.55,наличный,Гродно,Приорбанк-QRCI-675,28-12-2022,09:19:40,недостаточно средств,нет,0.0
юр. лицо,получение средств,3388.14,безналичный,Гомель,БелАгропромбанк-FHKR-534,08-06-2019,18:41:21,успешно,нет,0.0
юр. лицо,получение средств,685.88,наличный,Минск,БелАгропромбанк-UWEQ-945,31-03-2011,05:48:32,успешно,нет,0.0
юр. лицо,получение средств,3101.25,безналичный,Брест,Приорбанк-GTRP-456,04-04-2016,10:14:33,успешно,нет,0.0
физ. лицо,списание средств,2010.2,безналичный,Могилев,БелАгропромбанк-IVMB-582,16-08-2017,04:21:18,неправильный ввод пин-кода,да,161.35
физ. лицо,списание средств,3157.45,наличный,Брест,Приорбанк-OAOS-922,30-06-2020,03:46:56,успешно,да,288.05
физ. лицо,списание средств,1868.61,безналичный,Брест,МаксБанк-IYSQ-164,13-07-2002,17:15:31,неправильный ввод пин-кода,да,67.37
юр. лицо,списание средств,2555.33,наличный,Брест,Белинвестбанк-VQRC-147,22-09-2024,22:22:40,недостаточно средств,нет,0.0
физ. лицо,получение средств,1975.15,безналичный,Гомель,МаксБанк-MXKI-976,22-02-2023,06:47:25,успешно,нет,0.0
физ. лицо,получение средств,2289.96,безналичный,Гомель,Приорбанк-MZMZ-824,09-11-2010,01:13:05,успешно,нет,0.0
юр. лицо,получение средств,2613.74,безналичный,Минск,БелАгропромбанк-TRYY-538,05-08-2021,07:23:10,успешно,нет,0.0
физ. лицо,получение средств,2840.31,безналичный,Витебск,Беларусбанк-WCLJ-562,14-07-2024,19:24:24,успешно,нет,0.0
физ. лицо,получение средств,2512.71,наличный,Гомель,Приорбанк-NAZW-331,13-12-2014,02:57:32,успешно,нет,0.0
юр. лицо,списание средств,4777.89,наличный,Витебск,Белинвестбанк-AKWM-246,23-11-2001,23:58:50,недостаточно средств,нет,0.0
физ. лицо,получение средств,3785.08,безналичный,Могилев,МаксБанк-EMTB-840,14-05-2022,14:22:01,успешно,нет,0.0
физ. лицо,получение средств,3226.62,безналичный,Гродно,Белинвестбанк-WMQL-701,29-02-2024,13:46:37,успешно,нет,0.0
юр. лицо,получение средств,466.98,наличный,Брест,МаксБанк-UFBD-899,08-06-2001,04:23:58,успешно,нет,0.0
физ. лицо,списание средств,4700.42,наличный,Брест,Беларусбанк-LMHI-806,07-02-2014,16:24:39,успешно,да,418.79
физ. лицо,получение средств,1470.66,безналичный,Брест,Приорбанк-OSYP-985,26-02-2012,07:12:14,успешно,нет,0.0
юр. лицо,получение средств,468.89,наличный,Гродно,МаксБанк-VVWW-835,02-01-2017,14:24:14,успешно,нет,0.0
физ. лицо,получение средств,706.54,безналичный,Гродно,Беларусбанк-JTSN-241,07-12-2018,06:52:34,успешно,нет,0.0
физ. лицо,получение средств,1179.58,наличный,Витебск,Приорбанк-SJZH-840,16-02-2018,19:38:41,успешно,нет,0.0
юр. лицо,списание средств,944.03,безналичный,Минск,Приорбанк-RXMB-181,08-07-2020,22:15:12,успешно,нет,0.0
физ. лицо,получение средств,1311.09,безналичный,Могилев,Белинвестбанк-TKPX-241,02-04-2024,12:24:45,успешно,нет,0.0
юр. лицо,списание средств,1502.89,наличный,Гомель,БелАгропромбанк-UXXS-366,09-03-2020,14:41:40,недостаточно средств,нет,0.0
физ. лицо,списание средств,2336.42,безналичный,Витебск,Белинвестбанк-GDCK-477,27-12-2021,19:33:56,успешно,да,67.21
юр. лицо,списание средств,1042.46,наличный,Минск,Беларусбанк-VVVV-282,13-11-2012,05:40:00,недостаточно средств,нет,0.0
юр. лицо,получение средств,766.28,безналичный,Могилев,МаксБанк-BHOC-044,23-01-2011,19:18:12,успешно,нет,0.0
физ. лицо,списание средств,4692.2,наличный,Брест,Белинвестбанк-MMOT-278,22-02-2003,12:51:58,успешно,да,87.22
физ. лицо,получение средств,1104.98,безналичный,Брест,БелАгропромбанк-LMLW-959,31-08-2006,22:46:40,успешно,нет,0.0
физ. лицо,получение средств,3975.74,безналичный,Витебск,Приорбанк-AAVM-503,11-10-2017,18:55:09,успешно,нет,0.0
физ. лицо,списание средств,4216.24,наличный,Могилев,БелАгропромбанк-XINM-846,17-09-2007,21:22:58,недостаточно средств,нет,0.0
юр. лицо,списание средств,33.5,наличный,Гродно,БелАгропромбанк-PGXP-370,16-11-2022,15:18:49,успешно,да,0.49
юр. лицо,получение средств,832.21,безналичный,Гомель,Приорбанк-IWFY-907,09-11-2001,06:08:56,успешно,нет,0.0
юр. лицо,списание средств,4578.78,безналичный,Гродно,Беларусбанк-CVCO-292,28-07-2021,17:28:57,недостаточно средств,да,364.71
юр. лицо,списание средств,2790.79,наличный,Витебск,БелАгропромбанк-PCRE-791,17-08-2011,09:39:05,неправильный ввод пин-кода,да,151.6
физ. лицо,списание средств,1256.91,наличный,Гродно,БелАгропромбанк-IPQZ-218,14-12-2011,10:45:35,успешно,нет,0.0
юр. лицо,получение средств,4224.56,наличный,Гродно,Приорбанк-STGE-051,14-06-2020,05:01:33,успешно,нет,0.0
физ. лицо,получение средств,3192.11,наличный,Гомель,Приорбанк-AKUW-038,12-10-2021,06:38:26,успешно,нет,0.0
физ. лицо,получение средств,4459.11,безналичный,Минск,Приорбанк-STAD-758,22-01-2001,08:38:20,успешно,нет,0.0
физ. лицо,получение средств,4087.93,наличный,Могилев,МаксБанк-VCYJ-723,07-06-2006,17:04:02,успешно,нет,0.0
юр. лицо,списание средств,4093.1,наличный,Брест,Беларусбанк-DSKN-017,09-07-2015,13:30:39,неправильный ввод пин-кода,да,213.61
физ. лицо,списание средств,1771.04,наличный,Брест,Приорбанк-OQNN-372,18-09-2004,03:52:43,успешно,да,52.02
физ. лицо,получение средств,4187.48,безналичный,Минск,Белинвестбанк-FOCI-345,15-06-2011,00:11:34,успешно,нет,0.0
юр. лицо,получение средств,1759.19,наличный,Минск,БелАгропромбанк-FVJK-192,02-07-2014,04:41:33,успешно,нет,0.0
юр. лицо,получение средств,4717.05,наличный,Могилев,Беларусбанк-QGDZ-554,08-12-2002,14:20:01,успешно,нет,0.0
физ. лицо,списание средств,3773.27,безналичный,Витебск,Приорбанк-PLGN-123,14-01-2015,21:31:37,неправильный ввод пин-кода,да,331.82
физ. лицо,списание средств,3251.99,безналичный,Минск,Белинвестбанк-SBYK-213,29-06-2006,18:28:52,недостаточно средств,да,64.62
физ. лицо,списание средств,1085.91,безналичный,Гродно,МаксБанк-CQLQ-369,14-07-2021,07:18:52,недостаточно средств,да,73.02
физ. лицо,списание средств,1931.45,безналичный,Витебск,Беларусбанк-FDOD-962,10-06-2022,05:10:44,неправильный ввод пин-кода,да,111.64
юр. лицо,списание средств,1660.85,наличный,Минск,Приорбанк-QWNE-002,05-05-2002,19:01:50,успешно,да,35.69
юр. лицо,списание средств,1850.77,наличный,Гомель,Приорбанк-GTCH-677,12-11-2012,07:30:24,успешно,нет,0.0
физ. лицо,списание средств,192.54,безналичный,Гродно,Беларусбанк-OJLK-569,15-07-2004,17:01:36,недостаточно средств,нет,0.0
юр. лицо,списание средств,1498.26,безналичный,Гродно,Приорбанк-ZLIK-943,18-08-2000,01:50:24,успешно,да,82.84
физ. лицо,списание средств,2656.24,безналичный,Брест,МаксБанк-ULCG-765,06-09-2001,07:21:58,недостаточно средств,да,171.31
физ. лицо,получение средств,3084.24,безналичный,Витебск,Беларусбанк-QCGS-584,02-10-2017,14:36:52,успешно,нет,0.0
юр. лицо,получение средств,3178.8,наличный,Минск,Беларусбанк-DCOX-875,19-05-2015,14:54:14,успешно,нет,0.0
физ. лицо,списание средств,3315.49,наличный,Минск,МаксБанк-ZKPZ-068,11-01-2013,02:23:24,недостаточно средств,нет,0.0
физ. лицо,получение средств,2700.72,безналичный,Гомель,Беларусбанк-RSSR-807,12-03-2009,23:23:38,успешно,нет,0.0
юр. лицо,получение средств,2744.05,наличный,Могилев,Беларусбанк-LRBI-003,09-03-2006,07:24:47,успешно,нет,0.0
юр. лицо,получение средств,4797.08,безналичный,Витебск,МаксБанк-VPCN-929,29-02-2000,07:18:21,успешно,нет,0.0
юр. лицо,получение средств,1407.97,наличный,Брест,Белинвестбанк-VKHA-823,18-02-2018,22:00:41,успешно,нет,0.0
физ. лицо,списание средств,833.75,безналичный,Могилев,Белинвестбанк-MBJP-147,03-12-2005,16:15:59,недостаточно средств,нет,0.0
юр. лицо,списание средств,1768.11,безналичный,Могилев,Приорбанк-ZPHR-457,18-11-2024,16:46:45,недостаточно средств,да,115.35
юр. лицо,получение средств,4798.09,безналичный,Витебск,Беларусбанк-PXVL-094,11-11-2012,07:22:08,успешно,нет,0.0
юр. лицо,списание средств,1065.6,безналичный,Гомель,БелАгропромбанк-QSDH-682,21-06-2017,08:07:34,неправильный ввод пин-кода,да,11.01
юр. лицо,получение средств,1533.09,безналичный,Минск,МаксБанк-EOEW-570,12-09-2010,15:47:46,успешно,нет,0.0
физ. лицо,получение средств,1677.32,наличный,Минск,МаксБанк-SQLD-040,04-01-2018,04:24:55,успешно,нет,0.0
физ. лицо,получение средств,158.68,безналичный,Гомель,БелАгропромбанк-QMTW-227,03-11-2001,18:44:03,успешно,нет,0.0
юр. лицо,списание средств,3178.03,безналичный,Могилев,Белинвестбанк-WAWD-232,22-07-2004,23:51:24,успешно,нет,0.0
физ. лицо,списание средств,1171.38,наличный,Гродно,БелАгропромбанк-OPEK-215,07-12-2023,11:03:50,недостаточно средств,нет,0.0
физ. лицо,списание средств,646.46,безналичный,Могилев,Белинвестбанк-MXZV-381,29-02-2016,11:29:57,успешно,нет,0.0
физ. лицо,списание средств,1494.96,наличный,Витебск,БелАгропромбанк-XGJL-334,03-08-2020,19:11:13,недостаточно средств,да,18.34
физ. лицо,списание средств,615.29,безналичный,Брест,БелАгропромбанк-YKAL-649,24-02-2022,02:04:58,неправильный ввод пин-кода,да,8.75
юр. лицо,получение средств,4635.15,наличный,Брест,МаксБанк-TJVL-666,05-04-2013,01:37:17,успешно,нет,0.0
юр. лицо,списание средств,2727.56,наличный,Брест,БелАгропромбанк-DALU-334,19-10-2008,21:00:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3300.31,наличный,Витебск,Белинвестбанк-QOTY-334,11-05-2011,21:14:50,недостаточно средств,нет,0.0
физ. лицо,списание средств,1003.89,наличный,Витебск,Приорбанк-HPSU-916,22-07-2010,17:38:46,успешно,да,74.17
юр. лицо,получение средств,1465.6,безналичный,Брест,Беларусбанк-ITKF-847,06-01-2003,04:15:14,успешно,нет,0.0
физ. лицо,получение средств,223.49,наличный,Минск,Белинвестбанк-LMFN-834,21-10-2001,07:39:10,успешно,нет,0.0
физ. лицо,получение средств,2265.56,наличный,Гродно,БелАгропромбанк-KYAV-996,03-12-2002,10:15:23,успешно,нет,0.0
физ. лицо,списание средств,531.47,наличный,Витебск,Приорбанк-PFDS-156,07-03-2013,09:16:34,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,459.39,безналичный,Могилев,Приорбанк-PJAY-585,07-07-2013,05:02:02,недостаточно средств,да,29.17
юр. лицо,получение средств,3814.81,наличный,Брест,БелАгропромбанк-TNMM-329,29-09-2018,20:41:56,успешно,нет,0.0
юр. лицо,списание средств,3039.87,наличный,Могилев,Приорбанк-WXFF-959,18-05-2017,08:15:40,недостаточно средств,да,124.97
юр. лицо,списание средств,3574.54,наличный,Гродно,Приорбанк-LJLB-521,16-09-2023,16:27:05,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4446.6,наличный,Минск,МаксБанк-QOCM-084,07-08-2007,23:00:23,недостаточно средств,да,179.91
физ. лицо,списание средств,2543.17,безналичный,Гродно,БелАгропромбанк-STUE-096,10-03-2013,05:37:26,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4227.28,безналичный,Гомель,Беларусбанк-FSCN-892,03-08-2024,21:48:32,успешно,нет,0.0
физ. лицо,списание средств,422.28,безналичный,Витебск,Белинвестбанк-ZDFY-008,29-05-2009,21:17:04,неправильный ввод пин-кода,да,33.16
физ. лицо,получение средств,1036.49,наличный,Гомель,БелАгропромбанк-VSCU-531,20-11-2020,18:49:05,успешно,нет,0.0
физ. лицо,списание средств,2082.78,наличный,Витебск,Приорбанк-BRYH-802,18-07-2010,04:59:30,недостаточно средств,нет,0.0
юр. лицо,списание средств,3006.72,наличный,Витебск,Приорбанк-MLXK-337,16-07-2023,10:32:09,успешно,да,215.13
физ. лицо,получение средств,3125.27,наличный,Гомель,МаксБанк-ZVPP-049,21-08-2021,00:50:57,успешно,нет,0.0
юр. лицо,списание средств,48.75,наличный,Могилев,БелАгропромбанк-ELDT-597,28-02-2023,04:15:47,недостаточно средств,нет,0.0
физ. лицо,списание средств,1964.2,безналичный,Гродно,Приорбанк-CFNN-312,06-08-2016,11:42:20,неправильный ввод пин-кода,да,75.61
юр. лицо,получение средств,2993.2,безналичный,Витебск,БелАгропромбанк-WFSF-378,12-03-2010,19:38:02,успешно,нет,0.0
физ. лицо,списание средств,970.45,наличный,Брест,БелАгропромбанк-BNPP-528,05-10-2014,00:31:49,недостаточно средств,нет,0.0
юр. лицо,списание средств,1961.5,наличный,Витебск,Приорбанк-XZIN-538,19-12-2018,16:45:32,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,497.59,безналичный,Витебск,Белинвестбанк-IGUF-324,16-02-2020,13:05:21,успешно,нет,0.0
юр. лицо,списание средств,4515.77,наличный,Минск,МаксБанк-YUOJ-096,25-11-2012,06:44:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1802.05,безналичный,Минск,БелАгропромбанк-QKKM-770,11-11-2021,12:47:59,успешно,да,164.36
физ. лицо,списание средств,2435.87,наличный,Гродно,МаксБанк-KEZD-882,24-09-2020,06:41:51,успешно,нет,0.0
юр. лицо,получение средств,2312.73,безналичный,Витебск,Белинвестбанк-LVXR-034,20-05-2002,15:08:32,успешно,нет,0.0
юр. лицо,получение средств,2767.97,безналичный,Гродно,МаксБанк-ZRTN-740,26-11-2005,07:30:54,успешно,нет,0.0
юр. лицо,списание средств,3986.54,безналичный,Минск,МаксБанк-FGEP-721,04-05-2009,17:57:28,неправильный ввод пин-кода,да,363.7
юр. лицо,получение средств,2217.7,наличный,Минск,Беларусбанк-OYFG-128,02-02-2001,21:58:29,успешно,нет,0.0
юр. лицо,получение средств,951.33,безналичный,Витебск,МаксБанк-SEDP-132,01-12-2004,04:44:08,успешно,нет,0.0
юр. лицо,получение средств,4603.4,безналичный,Могилев,БелАгропромбанк-SEEU-525,22-01-2002,07:38:18,успешно,нет,0.0
физ. лицо,списание средств,4992.06,безналичный,Могилев,МаксБанк-SQME-846,22-03-2005,05:18:43,успешно,да,490.13
юр. лицо,получение средств,4271.61,наличный,Минск,Беларусбанк-EIDV-399,25-03-2016,06:10:31,успешно,нет,0.0
юр. лицо,получение средств,541.46,наличный,Гомель,Беларусбанк-OMFY-323,11-10-2005,00:12:58,успешно,нет,0.0
физ. лицо,списание средств,2158.85,безналичный,Могилев,Белинвестбанк-AXCJ-987,22-03-2011,04:46:17,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4012.73,наличный,Гомель,Белинвестбанк-SLLM-015,15-08-2023,06:21:59,успешно,нет,0.0
физ. лицо,списание средств,1590.4,безналичный,Витебск,МаксБанк-COVL-820,13-05-2019,11:51:27,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1624.92,безналичный,Могилев,Беларусбанк-ZTNC-642,22-06-2008,02:38:59,успешно,нет,0.0
юр. лицо,получение средств,4480.18,наличный,Минск,Приорбанк-RBFV-248,08-04-2020,21:42:59,успешно,нет,0.0
юр. лицо,получение средств,3729.09,безналичный,Могилев,Беларусбанк-KLKZ-984,26-11-2022,21:56:32,успешно,нет,0.0
юр. лицо,получение средств,3771.77,наличный,Брест,Беларусбанк-PROX-832,23-09-2006,00:11:46,успешно,нет,0.0
физ. лицо,получение средств,568.17,наличный,Брест,МаксБанк-KMZX-433,16-04-2024,11:50:13,успешно,нет,0.0
физ. лицо,получение средств,4011.15,наличный,Могилев,Приорбанк-PWOP-512,30-11-2012,07:57:28,успешно,нет,0.0
юр. лицо,списание средств,1253.12,наличный,Могилев,Беларусбанк-NPAZ-072,03-11-2003,09:27:41,недостаточно средств,нет,0.0
физ. лицо,получение средств,4377.06,безналичный,Гродно,Приорбанк-OLPH-837,15-02-2011,16:13:55,успешно,нет,0.0
юр. лицо,списание средств,2562.84,безналичный,Гродно,Беларусбанк-UNHG-757,03-11-2012,22:01:30,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1890.44,безналичный,Витебск,БелАгропромбанк-WWNG-087,07-02-2005,06:28:07,неправильный ввод пин-кода,да,83.31
физ. лицо,получение средств,4355.93,безналичный,Брест,Беларусбанк-ACXK-654,27-05-2012,03:05:57,успешно,нет,0.0
физ. лицо,получение средств,3719.09,наличный,Могилев,Приорбанк-BHGJ-221,25-10-2022,22:57:01,успешно,нет,0.0
юр. лицо,списание средств,4097.49,безналичный,Гродно,МаксБанк-NZRC-453,06-03-2009,18:29:39,неправильный ввод пин-кода,да,307.69
юр. лицо,списание средств,1966.42,наличный,Могилев,МаксБанк-CRBS-340,10-03-2020,11:11:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,421.12,наличный,Могилев,БелАгропромбанк-UABH-695,10-07-2001,11:58:35,недостаточно средств,да,7.75
юр. лицо,списание средств,3980.08,безналичный,Гомель,Белинвестбанк-OCBC-632,20-06-2014,18:02:27,успешно,да,355.33
юр. лицо,списание средств,1638.96,безналичный,Гродно,БелАгропромбанк-MPFB-047,03-06-2022,15:04:29,недостаточно средств,да,82.18
физ. лицо,списание средств,4584.38,наличный,Гродно,МаксБанк-SSUE-082,31-10-2018,09:33:33,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3372.42,безналичный,Минск,БелАгропромбанк-GGTP-326,05-10-2011,20:08:18,недостаточно средств,нет,0.0
физ. лицо,получение средств,4401.64,безналичный,Минск,Приорбанк-KBKL-087,11-06-2010,23:51:34,успешно,нет,0.0
физ. лицо,списание средств,2365.35,наличный,Витебск,Беларусбанк-PMRE-631,31-03-2009,19:09:31,успешно,да,81.27
юр. лицо,получение средств,4441.17,наличный,Гродно,МаксБанк-AKZV-803,20-10-2010,15:50:27,успешно,нет,0.0
юр. лицо,списание средств,4183.34,безналичный,Витебск,МаксБанк-LEFK-564,22-06-2006,21:41:14,недостаточно средств,да,392.61
юр. лицо,получение средств,4240.21,наличный,Гомель,МаксБанк-OQUZ-566,29-07-2012,09:29:13,успешно,нет,0.0
юр. лицо,получение средств,2577.93,безналичный,Витебск,Беларусбанк-KZYK-338,03-02-2015,15:32:18,успешно,нет,0.0
физ. лицо,получение средств,3322.64,наличный,Брест,БелАгропромбанк-BQZE-874,29-03-2021,07:43:06,успешно,нет,0.0
юр. лицо,получение средств,2349.39,наличный,Могилев,Приорбанк-VLQM-457,17-04-2005,15:02:01,успешно,нет,0.0
юр. лицо,получение средств,1134.53,безналичный,Витебск,МаксБанк-QRNI-582,27-09-2024,09:34:41,успешно,нет,0.0
физ. лицо,списание средств,4484.1,наличный,Минск,Беларусбанк-IZOU-940,22-03-2019,02:45:46,недостаточно средств,нет,0.0
физ. лицо,списание средств,418.83,наличный,Могилев,БелАгропромбанк-QFVO-850,17-05-2008,23:28:55,недостаточно средств,да,39.57
физ. лицо,списание средств,4959.8,безналичный,Гродно,Белинвестбанк-RAUA-958,10-03-2007,13:16:45,успешно,да,203.01
юр. лицо,получение средств,1977.55,наличный,Минск,Приорбанк-XXOQ-389,18-01-2002,06:57:39,успешно,нет,0.0
физ. лицо,получение средств,4572.93,безналичный,Гомель,Приорбанк-DGRU-874,16-03-2020,12:14:43,успешно,нет,0.0
физ. лицо,получение средств,4557.37,наличный,Витебск,БелАгропромбанк-EQYA-387,15-04-2010,18:36:27,успешно,нет,0.0
юр. лицо,получение средств,1915.56,безналичный,Витебск,Белинвестбанк-NTEX-224,28-06-2018,21:04:33,успешно,нет,0.0
физ. лицо,получение средств,2098.53,наличный,Витебск,МаксБанк-SURS-660,10-04-2002,07:43:38,успешно,нет,0.0
юр. лицо,списание средств,2026.18,наличный,Могилев,Приорбанк-VPFC-256,20-05-2010,11:01:58,успешно,нет,0.0
юр. лицо,получение средств,1750.79,наличный,Гродно,БелАгропромбанк-IKFO-112,11-10-2018,19:06:36,успешно,нет,0.0
юр. лицо,получение средств,3593.56,наличный,Гродно,МаксБанк-ZGJK-394,23-11-2012,03:41:22,успешно,нет,0.0
юр. лицо,списание средств,402.8,безналичный,Витебск,Приорбанк-TLAW-672,26-08-2001,09:23:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1761.26,наличный,Витебск,Приорбанк-BFVD-569,30-03-2011,09:59:57,успешно,нет,0.0
юр. лицо,списание средств,628.02,безналичный,Могилев,Беларусбанк-YQEQ-422,13-02-2006,17:27:42,успешно,нет,0.0
физ. лицо,списание средств,388.47,наличный,Брест,Приорбанк-ZKWF-397,21-12-2019,20:32:06,недостаточно средств,нет,0.0
физ. лицо,получение средств,4294.69,наличный,Минск,БелАгропромбанк-XEWJ-166,22-11-2022,20:35:24,успешно,нет,0.0
физ. лицо,получение средств,305.66,безналичный,Минск,БелАгропромбанк-KJDC-245,30-09-2001,17:10:28,успешно,нет,0.0
юр. лицо,получение средств,829.26,безналичный,Гомель,Белинвестбанк-MIJZ-232,01-03-2010,14:16:37,успешно,нет,0.0
физ. лицо,списание средств,3342.42,наличный,Минск,БелАгропромбанк-QCOL-765,21-09-2003,02:34:16,успешно,да,43.58
юр. лицо,получение средств,3738.42,наличный,Минск,Приорбанк-VHZG-161,02-03-2023,21:42:02,успешно,нет,0.0
юр. лицо,получение средств,1893.27,безналичный,Минск,БелАгропромбанк-UKRX-202,05-12-2006,15:43:57,успешно,нет,0.0
физ. лицо,списание средств,1553.56,безналичный,Гродно,Беларусбанк-CKBW-286,11-02-2021,16:53:51,успешно,нет,0.0
юр. лицо,получение средств,914.44,безналичный,Минск,Приорбанк-ABBO-068,11-09-2009,22:51:46,успешно,нет,0.0
физ. лицо,списание средств,2353.76,безналичный,Брест,БелАгропромбанк-BNTN-083,22-07-2016,13:49:14,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1437.13,наличный,Брест,Беларусбанк-ZXAG-512,11-09-2020,18:48:41,недостаточно средств,да,65.64
физ. лицо,получение средств,4054.09,безналичный,Гродно,БелАгропромбанк-EKCM-773,13-04-2003,02:07:35,успешно,нет,0.0
юр. лицо,получение средств,1773.53,наличный,Брест,Беларусбанк-OENO-470,17-11-2009,02:03:10,успешно,нет,0.0
юр. лицо,получение средств,4102.19,наличный,Гомель,Беларусбанк-SYEW-208,11-04-2016,05:28:02,успешно,нет,0.0
физ. лицо,получение средств,4836.44,наличный,Минск,Беларусбанк-UJJP-469,16-12-2008,11:28:01,успешно,нет,0.0
физ. лицо,списание средств,422.73,безналичный,Гродно,БелАгропромбанк-VYCX-108,01-01-2017,05:46:31,недостаточно средств,да,17.47
физ. лицо,списание средств,3799.38,наличный,Могилев,Приорбанк-PRLI-308,20-04-2008,18:19:51,неправильный ввод пин-кода,да,148.24
юр. лицо,получение средств,3519.52,безналичный,Гродно,БелАгропромбанк-NUXY-387,20-01-2024,04:15:01,успешно,нет,0.0
физ. лицо,списание средств,3173.37,безналичный,Гродно,МаксБанк-LANC-839,23-08-2021,23:08:15,недостаточно средств,да,301.67
физ. лицо,списание средств,1315.09,безналичный,Гомель,Беларусбанк-HJLI-014,30-11-2024,03:42:26,успешно,да,48.63
физ. лицо,получение средств,4069.71,безналичный,Гродно,Беларусбанк-RLBR-125,01-02-2012,04:18:21,успешно,нет,0.0
юр. лицо,списание средств,1325.54,наличный,Гродно,МаксБанк-AJWA-251,22-05-2010,03:04:36,успешно,нет,0.0
юр. лицо,получение средств,175.48,безналичный,Витебск,Белинвестбанк-DEWL-159,20-06-2018,00:57:06,успешно,нет,0.0
юр. лицо,списание средств,2124.73,наличный,Гомель,Беларусбанк-MFTC-993,03-05-2000,10:22:45,успешно,нет,0.0
физ. лицо,получение средств,1764.1,наличный,Гродно,Приорбанк-ENEG-467,03-12-2010,21:39:41,успешно,нет,0.0
юр. лицо,получение средств,2800.92,безналичный,Гродно,Беларусбанк-VHNG-758,07-01-2019,13:37:13,успешно,нет,0.0
юр. лицо,списание средств,1929.94,безналичный,Брест,МаксБанк-UKTQ-777,23-11-2020,23:42:48,успешно,нет,0.0
юр. лицо,получение средств,3202.56,наличный,Гродно,Беларусбанк-NIGN-294,06-06-2004,14:47:30,успешно,нет,0.0
физ. лицо,получение средств,3527.25,безналичный,Витебск,Беларусбанк-ZSXG-643,30-11-2009,17:37:02,успешно,нет,0.0
